company_id,location,name
1,None,Valve
2,None,Amazon Games
3,None,Hidden Path Entertainment
4,None,KRAFTON
5,None,Grinding Gear Games
6,None,Rockstar North
7,None,Rockstar Games
8,None,OVERKILL - a Starbreeze Studio.
9,None,Starbreeze Publishing AB
10,None,Mediatonic
11,None,Ravenscourt
12,None,Re-Logic
13,None,Facepunch Studios
14,None,Gaijin Entertainment
15,None,Gaijin Distribution KFT
16,None,Blue Mammoth Games
17,None,Ubisoft
18,None,Bungie
19,None,Digital Extremes
20,None,Smilegate RPG
21,None,Smartly Dressed Games
22,None,Innersloth
23,None,Wallpaper Engine Team
24,None,Iron Gate AB
25,None,Coffee Stain Publishing
26,None,FromSoftware Inc.
27,None,Bandai Namco Entertainment
28,None,Respawn Entertainment
29,None,Electronic Arts
30,None,Ubisoft Montreal
31,None,CD PROJEKT RED
32,None,Kinetic Games
33,None,MY.GAMES
34,None,Titan Forge Games
35,None,Hi-Rez Studios
36,None,ConcernedApe
37,None,Aurora Studio
38,None,TCH Scarlet Limited
39,None,Freejam
40,None,SCS Software
41,None,Behaviour Interactive Inc.
42,None,TLM Partners
43,None,343 Industries
44,None,Xbox Game Studios
45,None,Psyonix LLC
46,None,gamigo US Inc.
47,None,Studio Wildcard
48,None,Instinct Games
49,None,Efecto Studios
50,None,Virtual Basement LLC
51,None,The Fun Pimps
52,None,The Fun Pimps Entertainment LLC
53,None,Endnight Games Ltd
54,None,Firaxis Games
55,None,Aspyr (Mac)
56,None,Aspyr (Linux)
57,None,2K
58,None,Rockstar Toronto
59,None,Klei Entertainment
60,None,Crazy Rocks Studios
61,None,VRChat Inc.
62,None,CAPCOM Co.
63,None,Wargaming Group Limited
64,None,Evil Mojo Games
65,None,Redbeet Interactive
66,None,Axolot Games
67,None,VALOFE
68,None,NS STUDIO
69,None,Senscape
70,None,No Brakes Games
71,None,Curve Games
72,None,Daybreak Game Company
73,None,TaleWorlds Entertainment
74,None,鬼谷工作室
75,None,Lightning Games
76,None,Gearbox Software
77,None,Triternion
78,None,Heroic Leap Games
79,None,Cryptic Studios
80,None,Gearbox Publishing
81,None,Techland
82,None,The Behemoth
83,None,Maxis
84,None,FromSoftware
85,None,Activision (Excluding Japan and Asia)
86,None,FromSoftware (Japan)
87,None,方块游戏 (Asia)
88,None,Hopoo Games
89,None,KOG
90,None,Hyper Hippo Games
91,None,DONTNOD Entertainment
92,None,Feral Interactive (Mac)
93,None,Feral Interactive (Linux)
94,None,Square Enix
95,None,Wube Software LTD.
96,None,Fredaikis AB
97,None,OP Productions LLC
98,None,Irrational Games
99,None,Virtual Programming (Linux)
100,None,RobTop Games
101,None,Bethesda Game Studios
102,None,Bethesda Softworks
103,None,Rare Ltd
104,None,Pearl Abyss
105,None,DICE
106,None,Splash Damage
107,None,Warchest Ltd.
108,None,IO Interactive A/S
109,None,Sports Interactive
110,None,SEGA
111,None,24 Entertainment
112,None,NetEase Games Global
113,None,JOYCITY
114,None,Oddworld Inhabitants
115,None,Monolith Productions
116,None,Warner Bros. Interactive Entertainment
117,None,Warner Bros. Games
118,None,Massive Entertainment
119,None,Double Eleven
120,None,Introversion Software
121,None,Paradox Interactive
122,None,Larian Studios
123,None,Obsidian Entertainment
124,None,Running With Scissors
125,None,Feral interactive (Mac)
126,None,Visual Concepts
127,None,Team Salvato
128,None,Skybox Labs
129,None,Ensemble Studios
130,None,Forgotten Empires
131,None,Bohemia Interactive
132,None,Crate Entertainment
133,None,BioWare
134,None,Torn Banner Studios
135,None,Northwood Studios
136,None,Paradox Development Studio
137,None,Playsaurus
138,None,No More Room in Hell Team
139,None,Lever Games
140,None,Rogue Planet Games
141,None,Team Cherry
142,None,Relic Entertainment
143,None,The Indie Stone
144,None,Crystal Dynamics
145,None,Eidos-Montréal
146,None,Nixxes
147,None,Infinity Ward
148,None,Activision
149,None,World Makers
150,None,Edge of Reality
151,None,Sven Co-op team
152,None,1047 Games
153,None,CREATIVE ASSEMBLY
154,None,Colibri Games
155,None,Turtle Rock Studios
156,None,Expansive Worlds
157,None,Avalanche Studios
158,None,Tortuga Team
159,None,Valve Corporation
160,None,Nexon Korea Corporation
161,None,Reloaded Productions
162,None,Little Orbit
163,None,Ruffian Games
164,None,Saber Interactive
165,None,Treyarch
166,None,DrinkBox Studios
167,None,Hello Games
168,None,Nicalis
169,None,Edmund McMillen
170,None,Gone North Games
171,None,Supergiant Games
172,None,ZeniMax Online Studios
173,None,Colossal Order Ltd.
174,None,Star Gem Inc.
175,None,Florian Himsl
176,None,Tarsier Studios
177,None,BANDAI NAMCO Entertainment
178,None,Playground Games
179,None,WOLCEN Studio
180,None,Frontier Developments
181,None,BeamNG
182,None,Dennaton Games
183,None,Devolver Digital
184,None,Coffee Stain Studios
185,None,KW Studios
186,None,RaceRoom Entertainment AG
187,None,vanripper
188,None,Hardsuit Labs
189,None,Arc System Works
190,None,4A Games
191,None,Deep Silver
192,None,Berserk Games
193,None,Croteam
194,None,Statespace
195,None,Moon Studios GmbH
196,None,Daniel Mullins Games
197,None,Funcom
198,None,Evil Tortilla Games
199,None,Noble Empire Corp.
200,None,Spearhead Games
201,None,IllFonic
202,None,Gun Media
203,None,Standing Stone Games
204,None,Codemasters Racing
205,None,Codemasters
206,None,Playful Corp.
207,None,Subset Games
208,None,BlackSpot Entertainment
209,None,SMG Studio
210,None,Hunter Studio
211,None,Neon Doctrine
212,None,11 bit studios
213,None,and Ubisoft Shanghai
214,None,id Software
215,None,Chucklefish
216,None,Red Hook Studios
217,None,Blacklight Interactive
218,None,Team17
219,None,2K Australia
220,None,Arrowhead Game Studios
221,None,Squad
222,None,Private Division
223,None,Illusion Softworks
224,None,Rebellion
225,None,Double Fine Productions
226,None,Team Bondi
227,None,Rockstar Leeds
228,None,Novalink
229,None,Trion Worlds
230,None,BANDAI NAMCO Studios Inc.
231,None,Freakinware Studios
232,None,Crytek
233,None,Clever Endeavour Games
234,None,Targem Games
235,None,2K Boston
236,None,Blind Squirrel
237,None,Sandbox Interactive GmbH
238,None,Interplay Inc.
239,None,FishSoft
240,None,Fishing Planet LLC
241,None,Tripwire Interactive
242,None,tobyfox
243,None,Creaky Corpse Ltd
244,None,Bloober Team SA
245,None,Team Meat
246,None,nan
247,None,1C-SoftClub
248,None,Capcom
249,None,Shawn Hitchcock
250,None,Hitchcock Games
251,None,Galactic Cafe
252,None,Arkane Studios
253,None,Ghost Town Games Ltd.
254,None,New World Interactive
255,None,Konami Digital Entertainment
256,None,Creobit
257,None,8Floor
258,None,DANKIE
259,None,Team Psykskallar
260,None,Eagle Dynamics SA
261,None,advocatus
262,None,Jesse Makkonen
263,None,Bandai Namco Studios Inc.
264,None,Straight Back Games
265,None,Ninja Kiwi
266,None,Nimble Neuron
267,None,Kakao Games Europe B.V. (EU
268,None,NA
269,None,OCE)
270,None,Nimble Neuron (Excluding EU
271,None,BlueTwelve Studio
272,None,Annapurna Interactive
273,None,Empyrean
274,None,Frozen District
275,None,PlayWay S.A.
276,None,Volition
277,None,Hazelight
278,None,Kaos Studios
279,None,Fistful of Frags Team
280,None,Gunfire Games
281,None,Perfect World Entertainment
282,None,Ghost Ship Games
283,None,Kitka Games
284,None,MOB Games
285,None,Beat Games
286,None,Muse Games
287,None,Maxis™
288,None,poncle
289,None,Player First Games
290,None,Tripwire Presents
291,None,KAGAMI Ⅱ WORKs
292,None,NIJICO
293,None,Fatshark
294,None,Red Storm
295,None,Ubisoft Shanghai
296,None,Ubisoft Toronto
297,None,Ubisoft Kiev
298,None,Stunlock Studios
299,None,Motion Twin
300,None,X-Legend
301,None,Aeria Games
302,None,EA Canada & EA Romania
303,None,Big Huge Games
304,None,38 Studios
305,None,Grey Havens
306,None,mestiez
307,None,Studio Minus
308,None,Nadeo
309,None,Orteil
310,None,DashNet
311,None,Focus Entertainment
312,None,Studio MDHR Entertainment Inc.
313,None,Haemimont Games
314,None,Kalypso Media Digital
315,None,Pandemic Studios
316,None,Lucasfilm
317,None,LucasArts
318,None,Disney
319,None,Elias Viglione
320,None,Jussi Kukkonen
321,None,Panic Art Studios
322,None,Frictional Games
323,None,SkyBox Labs
324,None,Feral Interactive (Mac/Linux)
325,None,Reactive Drop Team
326,None,Santa Monica Studio
327,None,PlayStation PC LLC
328,None,Vankrupt Games
329,None,Gamepires
330,None,Raven Software
331,None,Beenox
332,None,High Moon Studios
333,None,Sledgehammer Games
334,None,Activision Shanghai
335,None,Demonware
336,None,Toys for Bob
337,None,Landfall
338,None,Rockstar Studios
339,None,Techland Publishing
340,None,Playdead
341,None,The Sims Studio
342,None,Ironclad Games
343,None,Stardock Entertainment
344,None,Trendy Entertainment
345,None,Visceral Games
346,None,2K Marin
347,None,Iron Lore Entertainment
348,None,THQ Nordic
349,None,Ubisoft Entertainment
350,None,Deep Silver Volition
351,None,Shiro Games
352,None,Shiro Unlimited
353,None,DoubleDutch Games
354,None,tinyBuild
355,None,Abstraction
356,None,Telltale Games
357,None,Skybound Games
358,None,Primal
359,None,TopWare Interactive
360,None,Ubisoft Paris
361,None,Ubisoft Annecy
362,None,Ubisoft Bucharest
363,None,Ubisoft Montpellier
364,None,Ubisoft Milan
365,None,Reflections
366,None,Ubisoft Belgrade
367,None,Rocksteady Studios
368,None,Ludeon Studios
369,None,WB Games Montreal
370,None,Landfall West
371,None,Ronimo Games
372,None,Free Reign Entertainment
373,None,Spicy Horse Games
374,None,YAGER
375,None,Missing Link Games
376,None,Wild Shadow Studios
377,None,Deca Games
378,None,2K Czech
379,None,Runic Games
380,None,Robot Entertainment
381,None,Mouldy Toof Studios
382,None,MachineGames
383,None,KAGAMI WORKS
384,None,Paradise Project
385,None,United Front Games
386,None,Mega Crit Games
387,None,Ivory Tower
388,None,Free Lives
389,None,Youthcat Studio
390,None,Gamera Games
391,None,Unknown Worlds Entertainment
392,None,Io-Interactive A/S
393,None,U.S. Army
394,None,Warhorse Studios
395,None,Prime Matter
396,None,Vigil Games
397,None,CCP
398,None,PlatinumGames
399,None,Ghost Games
400,None,Soviet Games
401,None,Vostok Games
402,None,Rockstar North / Toronto
403,None,Machine Games
404,None,Relentless Studios
405,None,Hoobalugalar_X
406,None,2K China
407,None,WB Games
408,None,Kunos Simulazioni
409,None,Toadman Interactive
410,None,Artplant
411,None,Crowbar Collective
412,None,System Era Softworks
413,None,Ndemic Creations
414,None,MOBITECH LLC
415,None,PopCap Games
416,None,Ubisoft Quebec
417,None,Ubisoft Singapore
418,None,Frozenbyte
419,None,Tantalus Media
420,None,Wicked Witch
421,None,Keen Software House
422,None,Rockstar New England
423,None,Paradox Tinto
424,None,NetherRealm Studios
425,None,QLOC
426,None,Spiderling Studios
427,None,Dimensional Ink Games
428,None,Blue Byte
429,None,Lucas Pope
430,None,3909
431,None,Scott Cawthon
432,None,Victor Solodilov
433,None,Denis Novikov
434,None,Bennett Foddy
435,None,IMGN.PRO
436,None,Hinterland Studio Inc.
437,None,Darkflow Software
438,None,Duoyi Games
439,None,Shining Rock Software LLC
440,None,Rebuilt Games
441,None,Atelier 801
442,None,Inc
443,None,Masangsoft
444,None,Red Barrels
445,None,ConchShip Games
446,None,Eidos Montreal
447,None,Microblast Games
448,None,SA Industry
449,None,OVERKILL Software
450,None,Hidden Variable Studios
451,None,Autumn Games
452,None,Thunder Lotus Games
453,None,Clifftop Games
454,None,Raw Fury
455,None,Microsoft Game Studios
456,None,Feral Interactive
457,None,Nabi Studios
458,None,Double Action Factory
459,None,Stainless Games Ltd.
460,None,Wizards of the Coast LLC
461,None,WipleGames Inc.
462,None,
463,None,Brace Yourself Games
464,None,Dodge Roll
465,None,Flying Wild Hog
466,None,Playwing LTD
467,None,Shanghai
468,None,Toronto
469,None,Kiev
470,None,Giants Software
471,None,Blender Foundation
472,None,South East Games
473,None,Remedy Entertainment
474,None,Osmotic Studios
475,None,Limbic Entertainment
476,None,Realmforge Studios
477,None,Kalypso Media
478,None,Fluppisoft
479,None,10 Chambers
480,None,Desertkun
481,None,Eugen Systems
482,None,BlankMediaGames
483,None,Alex Piola
484,None,KISS ltd
485,None,M2H
486,None,Blackmill Games
487,None,Noio
488,None,New Reality Games
489,None,Undead Labs
490,None,Exe Games Inc.
491,None,Infernum Games GmbH
492,None,Ben Johnson (bencelot)
493,None,Nik Nak Studios
494,None,5 Lives Studios
495,None,High Voltage Software
496,None,Eforb
497,None,Cyanide Studio
498,None,Nacon
499,None,BetaDwarf
500,None,KOEI TECMO GAMES CO.
501,None,LTD.
502,None,Reactor Zero
503,None,Eko Software
504,None,505 Games
505,None,Piranha Games Inc.
506,None,GSC Game World
507,None,GSC World Publishing
508,None,Panzar Studio
509,None,OVALIS INVESTMENTS LIMITED
510,None,Dovetail Games
511,None,Dovetail Games - Trains
512,None,Traveller's Tales
513,None,Arkedo
514,None,Acureus
515,None,Tango Gameworks
516,None,Warm Lamp Games
517,None,Alawar Premium
518,None,Outerlight Ltd.
519,None,Blazing Griffin
520,None,Steel Crate Games
521,None,Cellar Door Games
522,None,Lunarch Studios
523,None,Digital Confectioners
524,None,S2 Games
525,None,Total Mayhem Games
526,None,Bedtime Digital Games
527,None,Beam Team Games
528,None,Beam Team Publishing
529,None,TECOPARK
530,None,HuniePot
531,None,Telltale
532,None,Strategy First
533,None,Another Axiom
534,None,EA Black Box
535,None,Deck Nine
536,None,Snowblind Studios
537,None,DIMPS
538,None,Sixense
539,None,Capcom Game Studio Vancouver
540,None,IronOak Games
541,None,Osumia Games
542,None,Infinity Plus 2
543,None,Game Science
544,None,EA Redwood Shores
545,None,EA Los Angeles
546,None,Octoshark Studios
547,None,Motiga Inc.
548,None,FantaBlade Network
549,None,XD
550,None,Zeboyd Games
551,None,Techworld Communication
552,None,RuneStorm
553,None,Ironward
554,None,Petroglyph
555,None,Aspyr Studios
556,None,1939 Games
557,None,Those Awesome Guys
558,None,Endava
559,None,USM
560,None,Grease Monkey Games
561,None,Two Point Studios
562,None,NeocoreGames
563,None,Hangar 13
564,None,D3T
565,None,EA - Maxis
566,None,Ubisoft Sofia
567,None,Onyx Lute
568,None,Eric Ruts
569,None,Jacob Kooiman
570,None,HyperReuts
571,None,Reality Pump Studios
572,None,Topware Interactive
573,None,Perfuse Entertainment
574,None,Glowstick Entertainment
575,None,Ardi Studio
576,None,Garage Games
577,None,Spike Chunsoft Co.
578,None,Extremely OK Games
579,None,Matt Makes Games Inc.
580,None,Parovoz Animation Studio
581,None,Interactive Moolt
582,None,OpenTTD
583,None,Team17 Digital Ltd
584,None,DODRECK
585,None,kazakovstudios
586,None,JumpStart Games
587,None,Lion Shield
588,None,Amistech Games
589,None,Poppermost Productions
590,None,WastedStudios
591,None,Frontier
592,None,PlatinumGames Inc.
593,None,Insomniac Games
594,None,Nixxes Software
595,None,Dead Mage
596,None,Digitalmindsoft
597,None,Fulqrum Publishing
598,None,Criterion Games
599,None,David Szymanski
600,None,New Blood Interactive
601,None,SUPERHOT Team
602,None,YC Games
603,None,ProjectMoon
604,None,FireFly Studios
605,None,Beamdog
606,None,Rec Room
607,None,Team Fractal Alligator
608,None,Fellow Traveller
609,None,Gas Powered Games
610,None,Airtight Games
611,None,AMPLITUDE Studios
612,None,Sparkypants Studios
613,None,Egosoft
614,None,Piranha Bytes
615,None,League of Geeks
616,None,UL Solutions
617,None,Pillow Castle
618,None,Dry Cactus
619,None,Rocketeer Games Studio
620,None,Bossa Studios
621,None,Lo-Fi Games
622,None,Ninja Theory
623,None,Lag Studios
624,None,Boneloaf
625,None,Coatsink
626,None,Alexander Bruce
627,None,Demruth
628,None,2D BOY
629,None,SANDLOT
630,None,D3PUBLISHER
631,None,PuffballsUnited
632,None,Harebrained Schemes
633,None,Slightly Mad Studios
634,None,Terry Cavanagh
635,None,Offworld Industries
636,None,14° East
637,None,Black Isle Studios
638,None,Triumph Studios
639,None,Dan Fornace
640,None,Campo Santo
641,None,Panic
642,None,Eleon Game Studios
643,None,Winged Cloud
644,None,Rogue Snail
645,None,Akupara Games
646,None,CI Games
647,None,The Knights of Unity
648,None,Teeworlds Team
649,None,Afterthought LLC
650,None,Carbine Studios
651,None,NCSOFT
652,None,Masthead Studios Ltd
653,None,Thegamewallstudios
654,None,Gamigo AG
655,None,Bugbear
656,None,Deck13
657,None,Keen Games
658,None,Daedalic Entertainment
659,None,Giant Army
